,parameters,N,permuted,not permuted,ndarray,timeit
0,10,100,0.4685275503434241,0.4663508371450007,1.178553800098598,1000.0
1,10,500,0.43841881584376097,0.446480595972389,3.4705920009873807,1000.0
2,10,1000,0.585164821241051,0.5363879399374127,6.848852453287691,1000.0
3,10,1500,0.5821541212499142,0.5763871902599931,10.5685007981956,1000.0
4,10,2000,0.6313036130741239,0.6138433339074254,14.044441966339946,1000.0
5,50,100,1.3231102908030152,1.7347699273377657,4.213793282862753,1000.0
6,50,500,1.4693799908272922,1.838529956061393,15.826689512934536,1000.0
7,50,1000,1.6380709172226489,2.0335087031126022,31.87812655698508,1000.0
8,50,1500,1.8740390283055604,2.234609863255173,48.35605719592422,1000.0
9,50,2000,2.02739275386557,2.4138237037695944,64.07328880392015,1000.0
10,100,100,2.5576879801228642,3.5515566770918667,8.523833387065679,1000.0
11,100,500,2.9052589489147067,3.8366191289387643,31.600071277935058,1000.0
12,100,1000,3.3005302478559315,4.243330006953329,63.857787070795894,1000.0
13,100,1500,3.6707280911505222,4.577152441255748,95.21903074486181,1000.0
14,100,2000,4.157619663048536,5.016949161887169,128.66997177014127,1000.0
15,500,100,23.73748386790976,29.052967126015574,53.20998128224164,1000.0
16,500,500,27.312179637141526,31.578339488711208,170.58597082085907,1000.0
17,500,1000,35.47237213421613,39.99677518103272,340.5628259209916,1000.0
18,500,1500,43.29194032680243,47.38232517801225,504.1647125259042,1000.0
19,500,2000,51.71775243571028,56.166638045571744,677.5013497569598,1000.0
20,1000,100,8.64757125172764,9.644283290021122,15.469970020931214,100.0
21,1000,500,9.504056392237544,10.046980184037238,40.345760884229094,100.0
22,1000,1000,10.976284686010331,12.06583071872592,70.76843068003654,100.0
23,1000,1500,13.563008365221322,14.346821450162679,106.23846365511417,100.0
24,1000,2000,14.921375362202525,14.66937749972567,147.41033889586106,100.0
25,5000,100,185.9965133476071,189.2576440242119,216.04774886276573,100.0
26,5000,500,205.66665141982958,208.69992439588532,353.1017157989554,100.0
27,5000,1000,231.52683780202642,233.01748400274664,532.7730920892209,100.0
28,5000,1500,230.83943811431527,228.9678856371902,730.2848878628574,100.0
29,5000,2000,268.9386443751864,278.7161778989248,1191.2701792819425,100.0
30,10000,100,136.27416490018368,122.19033086299896,85.27338765608147,10.0
